first_name,last_name,points_last_season,current_points,price,minutes,points_per_90,points_per_match,points_per_match2,value_added_per_mil
Kevin,De Bruyne,251,0,115,2790,8.096774194,6.605263158,4.605263158,0.040045767
Mohamed,Salah,233,0,120,2879,7.28377909,6.131578947,4.131578947,0.034429825
Sadio,Mané,221,0,120,2745,7.245901639,5.815789474,3.815789474,0.031798246
Trent,Alexander-Arnold,210,0,75,3173,5.956508037,5.526315789,3.526315789,0.047017544
Jamie,Vardy,210,0,100,3032,6.233509235,5.526315789,3.526315789,0.035263158
Pierre-Emerick,Aubameyang,205,0,120,3136,5.883290816,5.394736842,3.394736842,0.028289474
Raheem,Sterling,204,0,115,2651,6.925688419,5.368421053,3.368421053,0.029290618
Anthony,Martial,200,0,90,2625,6.857142857,5.263157895,3.263157895,0.03625731
Danny,Ings,198,0,85,2800,6.364285714,5.210526316,3.210526316,0.037770898
Raúl,Jiménez,194,0,85,3241,5.387226165,5.105263158,3.105263158,0.036532508
Andrew,Robertson,181,0,70,3111,5.236258438,4.763157895,2.763157895,0.039473684
Virgil,van Dijk,178,0,65,3420,4.684210526,4.684210526,2.684210526,0.041295547
Marcus,Rashford,177,0,95,2645,6.02268431,4.657894737,2.657894737,0.027977839
Riyad,Mahrez,175,0,85,1934,8.143743537,4.605263158,2.605263158,0.030650155
Nick,Pope,170,0,55,3420,4.473684211,4.473684211,2.473684211,0.044976077
Heung-Min,Son,169,0,90,2478,6.138014528,4.447368421,2.447368421,0.027192982
Willian,Borges Da Silva,168,0,80,2595,5.826589595,4.421052632,2.421052632,0.030263158
Matt,Doherty,167,0,60,2836,5.299717913,4.394736842,2.394736842,0.039912281
Richarlison,de Andrade,165,0,80,3070,4.83713355,4.342105263,2.342105263,0.029276316
Dean,Henderson,160,0,55,3240,4.444444444,4.210526316,2.210526316,0.040191388
Harry,Kane,158,0,105,2588,5.494590417,4.157894737,2.157894737,0.020551378
Kasper,Schmeichel,156,0,55,3420,4.105263158,4.105263158,2.105263158,0.038277512
